        UserId,Gender,MonthOfBirth,IsPupilPremium,YearGroup
6819,Female,2008-10-01,1,8
6820,Female,2008-12-01,1,8
6821,Male,2009-02-01,0,8
6822,Male,2007-11-01,1,9
6823,Male,2008-04-01,1,10
6824,Male,2008-03-01,0,9
6825,Female,2008-01-01,1,9
6826,Male,2011-03-01,0,6
6827,Male,2006-08-01,0,11
6828,Male,2005-07-01,1,
6829,Male,2005-11-01,0,11
6830,Male,2008-08-01,1,9
6831,Female,2005-11-01,1,11
6832,Female,2006-02-01,1,11
6833,Female,2006-04-01,0,11
6834,Male,2007-10-01,0,9
6835,Female,2009-01-01,0,8
6836,Female,2008-12-01,0,8
6837,Male,2008-09-01,0,8
6838,Male,2009-03-01,0,8
6839,Female,2008-10-01,1,8
6840,Male,2009-05-01,0,8
6841,Male,2009-03-01,0,8
6842,Female,2009-08-01,0,8
6843,Female,2009-07-01,1,8
6844,Female,2009-01-01,0,8
6845,Male,2009-02-01,0,8
6846,Male,2009-01-01,0,8
6847,Female,2008-10-01,0,8
6848,Female,2009-01-01,0,8
6849,Male,,,
6850,Female,,,5
6851,Female,,,
6852,Female,,,6
6853,Unspecified,,,13
6854,Unspecified,,,13
6855,Unspecified,,,13
6856,Unspecified,,,13
6857,Unspecified,,,13
6858,Unspecified,,,13
6859,Unspecified,,,13
6860,Unspecified,,,13
6861,Unspecified,,,10
6862,Unspecified,,,13
6863,Unspecified,,,13
5196,Male,2008-04-01,,9
6864,Female,2008-06-01,,
6865,Female,2006-10-01,0,9
6866,Female,2008-04-01,0,8
6867,Female,2007-09-01,1,8
6868,Unspecified,,,10
6869,Male,2006-11-01,1,10
6870,Unspecified,,,
6871,Unspecified,,,9
6872,Male,2004-10-01,0,
6873,Unspecified,,,
6874,Unspecified,,,
6875,Unspecified,,,
6876,Male,2008-08-01,0,9
6877,Female,2008-02-01,0,9
6878,Male,2007-11-01,0,9
6879,Female,2008-05-01,0,9
6880,Female,2008-05-01,0,9
6881,Female,2008-02-01,0,9
6882,Male,2008-03-01,,9
6883,Male,2006-02-01,0,11
6884,Male,2006-02-01,0,11
1353,Unspecified,,,8
6885,Female,2008-06-01,,9
6886,Male,,,
6887,Unspecified,,,9
6888,Unspecified,,,9
6889,Unspecified,,,
6890,Unspecified,,,10
5383,Male,,,10
5385,Female,,,10
6891,Female,,,10
4201,Unspecified,,,7
6892,Female,2008-05-01,,7
4899,Unspecified,,,9
4902,Unspecified,,,9
4905,Unspecified,,,9
4886,Unspecified,,,9
4892,Unspecified,,,9
6893,Male,2007-12-01,0,9
6894,Female,2007-11-01,1,9
6895,Male,2008-08-01,0,9
6896,Male,2008-04-01,0,9
6897,Male,2007-06-01,0,10
6898,Female,2010-02-01,0,
6899,Female,2008-06-01,,
6900,Female,2008-10-01,,8
6901,Unspecified,,,
6902,Unspecified,,,
6903,Unspecified,,,
6904,Female,,,9
6905,Unspecified,,,6
6906,Male,2006-07-01,1,11
6907,Male,2005-09-01,0,11
6908,Unspecified,,,
6909,Unspecified,,,7
6910,Unspecified,,,7
753,Unspecified,,,7
6911,Unspecified,,,7
6912,Unspecified,,,7
6913,Unspecified,,,7
2511,Unspecified,,,7
6914,Unspecified,,,8
6915,Unspecified,,,
6916,Unspecified,,,
6917,Unspecified,,,
6918,Unspecified,,,
6919,Unspecified,,,
6920,Unspecified,,,
6921,Male,,,
6922,Female,,,
6923,Male,,,
6924,Unspecified,,,10
6925,Unspecified,,,6
6926,Female,2006-05-01,0,11
6927,Unspecified,,,
6928,Unspecified,,,
6929,Unspecified,,,
6930,Unspecified,,,
6931,Unspecified,,,
6932,Unspecified,,,
6933,Unspecified,,,
6934,Unspecified,,,9
6935,Unspecified,,,9
6936,Unspecified,,,9
6937,Unspecified,,,9
6938,Unspecified,,,9
6939,Unspecified,,,9
6940,Unspecified,,,9
6941,Unspecified,,,11
6942,Female,2009-01-01,0,7
6943,Male,2009-05-01,0,
6944,Female,2009-02-01,0,
6945,Female,2009-02-01,0,
6946,Female,2008-09-01,0,7
6947,Unspecified,,,9
6948,Unspecified,,,9
6949,Unspecified,,,9
6950,Unspecified,,,9
6951,Unspecified,,,9
6952,Unspecified,,,9
6953,Female,2009-01-01,1,7
6954,Male,2009-05-01,1,
6955,Unspecified,,,
6956,Unspecified,,,
6957,Male,2008-11-01,0,
6958,Female,2009-07-01,0,
6959,Female,2013-11-01,0,3
6960,Male,2007-01-01,0,10
6961,Male,2006-10-01,0,11
6962,Male,2006-12-01,0,10
6963,Female,2006-10-01,0,10
6964,Female,2007-03-01,1,10
6965,Female,2006-10-01,1,10
6966,Male,2008-04-01,1,10
6967,Male,2009-06-01,0,8
6968,Female,2008-11-01,1,8
6969,Female,2009-04-01,0,8
6970,Female,2009-06-01,1,8
6971,Male,2009-01-01,1,8
6972,Male,2009-04-01,1,8
6973,Female,2008-02-01,1,9
6974,Female,2007-10-01,0,9
6975,Female,2008-05-01,1,9
6976,Male,2007-09-01,1,10
6977,Male,2007-09-01,1,9
6978,Male,2008-06-01,1,9
6979,Female,2010-12-01,1,6
6980,Male,2007-06-01,0,10
6981,Male,2011-10-01,1,5
6982,Unspecified,,,
6983,Female,1983-11-01,,
6984,Female,2002-07-01,,
6985,Female,2006-07-01,,9
6986,Male,2005-10-01,0,11
6987,Female,2006-06-01,1,11
6988,Male,2008-06-01,,
6989,Male,2008-05-01,,
2236,Male,2006-05-01,,11
2238,Female,2006-07-01,,11
2231,Female,2006-08-01,,11
2232,Male,2006-08-01,,11
2243,Female,2006-07-01,,11
6990,Male,2007-07-01,0,10
6991,Male,2010-04-01,0,
6992,Unspecified,,,
6993,Male,2006-07-01,0,11
6994,Male,2005-10-01,1,11
6995,Female,2006-12-01,1,10
6996,Female,2007-07-01,0,10
6997,Female,2007-08-01,0,10
6998,Female,2007-02-01,1,11
6999,Male,2006-10-01,0,10
7000,Male,2007-01-01,0,10
7001,Male,2006-12-01,0,10
7002,Male,2007-07-01,0,10
7003,Female,2006-11-01,0,10
7004,Male,2007-04-01,0,10
7005,Female,2006-11-01,0,
7006,Male,2006-11-01,1,10
7007,Male,2007-07-01,0,10
7008,Male,2007-08-01,0,10
7009,Male,2006-10-01,0,10
7010,Male,2007-05-01,1,10
7011,Male,2007-05-01,0,10
7012,Male,2007-05-01,1,10
7013,Female,2007-06-01,0,10
7014,Male,2007-01-01,,9
7015,Male,2011-09-01,,
7016,Male,2011-03-01,,
7017,Male,2012-04-01,,
7018,Female,2010-11-01,0,6
7019,Female,2006-02-01,,11
7020,Female,2006-12-01,,
7021,Female,2007-02-01,,11
6047,Male,2006-12-01,,11
6049,Female,2006-09-01,,11
6046,Female,2007-06-01,,11
6052,Female,2006-11-01,,11
6045,Male,2006-09-01,,11
6051,Male,2007-05-01,,11
7022,Male,2006-10-01,,7
5139,Unspecified,,,6
7023,Female,2007-02-01,,7
7024,Male,2012-06-01,1,5
7025,Female,2007-06-01,0,8
7026,Female,2004-05-01,,5
7027,Female,2008-07-01,0,9
7028,Female,2007-09-01,0,9
7029,Male,2008-01-01,0,9
7030,Female,2006-05-01,0,11
7031,Male,2006-07-01,0,11
7032,Male,2008-06-01,,9
7033,Female,2008-01-01,,9
7034,Male,2007-10-01,,9
7035,Male,2007-08-01,1,10
7036,Male,,,
7037,Male,,,
7038,Female,2008-05-01,0,
7039,Male,2007-10-01,0,
7040,Female,2008-08-01,0,
7041,Female,2007-09-01,0,9
7042,Male,2007-10-01,0,10
7043,Female,2008-07-01,0,10
7044,Female,2008-05-01,1,10
7045,Female,2008-01-01,1,10
7046,Female,2007-12-01,0,10
7047,Female,2008-01-01,0,10
7048,Male,2008-02-01,1,10
7049,Male,2008-04-01,0,9
7050,Male,2008-07-01,0,9
7051,Male,2008-08-01,0,9
7052,Male,2011-08-01,,6
7053,Male,2011-01-01,,6
7054,Male,2011-07-01,,6
7055,Male,2009-10-01,,7
7056,Male,2010-01-01,,7
7057,Male,2009-10-01,,7
7058,Female,2007-10-01,0,
7059,Male,2008-08-01,1,9
7060,Male,2008-04-01,1,9
7061,Male,2007-09-01,0,9
7062,Female,2008-03-01,0,9
7063,Unspecified,,,9
7064,Unspecified,,,10
7065,Male,2008-01-01,,9
7066,Male,2007-11-01,,9
7067,Male,2007-11-01,,9
7068,Female,2008-05-01,,9
4829,Female,2008-08-01,,9
7069,Female,2008-04-01,,9
5197,Female,2008-08-01,,9
7070,Female,2007-09-01,,9
7071,Female,2007-09-01,,9
7072,Male,2007-09-01,,9
7073,Female,2007-12-01,0,
7074,Female,2008-01-01,0,9
7075,Female,2007-09-01,0,
7076,Female,2007-07-01,0,
7077,Male,2006-12-01,0,10
7078,Unspecified,,,9
7079,Female,,,9
7080,Female,,,6
7081,Female,,,6
7082,Female,,,6
7083,Unspecified,,,6
7084,Male,,,
7085,Female,,,
7086,Female,,,5
7087,Unspecified,,,13
7088,Unspecified,,,13
7089,Unspecified,,,13
7090,Unspecified,,,13
7091,Unspecified,,,13
7092,Unspecified,,,13
7093,Unspecified,,,
7094,Unspecified,,,10
7095,Unspecified,,,13
7096,Unspecified,,,13
7097,Unspecified,,,13
7098,Female,2008-07-01,1,8
7099,Male,2008-06-01,1,8
7100,Female,2008-06-01,,8
7101,Female,2008-06-01,1,8
7102,Female,2007-09-01,0,9
7103,Male,2008-07-01,1,9
7104,Unspecified,,,2
7105,Unspecified,,,
7106,Unspecified,,,
7107,Female,2009-05-01,0,8
7108,Male,2008-04-01,1,10
7109,Male,2008-06-01,1,9
7110,Male,2008-04-01,0,9
7111,Male,2007-09-01,0,9
7112,Male,2008-05-01,1,9
7113,Male,2007-09-01,0,9
7114,Male,2008-11-01,0,8
7115,Male,2009-01-01,0,8
7116,Female,2007-10-01,1,10
7117,Female,2009-01-01,,8
4859,Male,2008-11-01,,8
7118,Female,2009-05-01,,8
4485,Male,2009-02-01,,8
7119,Male,2009-01-01,,8
7120,Male,2008-11-01,,8
4705,Female,2009-06-01,,8
4847,Male,2009-08-01,,8
4741,Female,2009-02-01,,8
7121,Male,2008-09-01,,8
7122,Male,2008-12-01,,8
7123,Male,2009-02-01,,8
7124,Male,2009-07-01,,8
7125,Male,2009-05-01,,8
4488,Male,2009-04-01,,8
7126,Male,2009-01-01,,8
4759,Male,2009-03-01,,8
7127,Female,2008-12-01,,8
7128,Male,2009-08-01,,8
7129,Male,2009-08-01,,8
7130,Male,2008-11-01,,8
7131,Male,2008-11-01,,8
7132,Female,2009-03-01,,8
7133,Male,2009-05-01,,8
4505,Male,2008-12-01,,8
4855,Male,2009-05-01,,8
7134,Male,2009-02-01,,8
7135,Female,2013-08-01,1,4
7136,Unspecified,,,
7137,Unspecified,,,
7138,Female,2009-05-01,,8
7139,Male,2009-05-01,,8
7140,Unspecified,,,
7141,Unspecified,,,8
7142,Unspecified,,,8
7143,Unspecified,,,8
7144,Unspecified,,,8
7145,Unspecified,,,8
7146,Female,,,
7147,Unspecified,,,7
7148,Unspecified,,,7
7149,Female,2008-11-01,0,8
7150,Female,2009-01-01,0,8
7151,Female,2009-04-01,1,8
7152,Male,2009-05-01,0,9
7153,Female,2008-12-01,0,8
7154,Male,2009-03-01,0,8
7155,Female,2009-03-01,0,8
7156,Male,2009-04-01,0,8
7157,Male,2008-11-01,0,9
7158,Male,2008-10-01,0,8
7159,Male,,,
7160,Female,,,10
7161,Male,,,8
7162,Female,,,9
7163,Male,,,10
7164,Female,,,11
7165,Female,,,10
7166,Female,,,8
7167,Male,2008-09-01,1,8
7168,Female,2009-02-01,0,8
7169,Female,2009-01-01,1,8
7170,Female,2008-11-01,1,8
7171,Male,2009-02-01,0,8
7172,Male,2009-01-01,1,8
7173,Male,2009-01-01,0,8
7174,Unspecified,,,
7175,Unspecified,,,
7176,Unspecified,,,
7177,Unspecified,,,
7178,Unspecified,,,
7179,Female,2008-09-01,0,7
7180,Male,2008-09-01,,7
7181,Female,2008-11-01,0,7
7182,Female,2008-12-01,0,7
7183,Female,2009-05-01,0,7
7184,Female,2009-04-01,1,7
7185,Female,2009-05-01,,7
7186,Female,2008-11-01,1,7
7187,Female,2009-05-01,1,7
7188,Unspecified,,,
7189,Unspecified,,,
7190,Unspecified,,,
7191,Unspecified,,,
7192,Male,2008-09-01,0,
7193,Female,2009-04-01,1,13
7194,Male,2009-07-01,0,8
7195,Male,2009-03-01,0,8
7196,Female,2008-11-01,0,8
7197,Unspecified,,,
7198,Unspecified,,,
7199,Unspecified,,,
7200,Unspecified,,,
7201,Unspecified,,,
7202,Unspecified,,,7
7203,Female,1963-06-01,,7
7204,Unspecified,,,7
7205,Unspecified,,,7
7206,Unspecified,,,7
7207,Unspecified,,,7
7208,Unspecified,,,7
7209,Male,2008-10-01,0,8
7210,Male,2009-08-01,1,8
7211,Male,2009-03-01,0,8
7212,Male,2005-01-01,0,
7213,Male,2008-12-01,1,8
7214,Female,2006-07-01,1,11
7215,Male,2005-10-01,0,
7216,Unspecified,,,11
7217,Unspecified,,,11
7218,Male,2008-09-01,,8
7219,Unspecified,,,
7220,Female,,,
7221,Male,2008-09-01,0,
7222,Unspecified,,,
7223,Male,,,8
7224,Unspecified,,,
7225,Female,2009-04-01,1,
7226,Female,2011-04-01,,
7227,Female,2007-01-01,,5
7228,Unspecified,,,8
7229,Unspecified,,,8
7230,Unspecified,,,8
7231,Unspecified,,,8
7232,Unspecified,,,8
7233,Unspecified,,,8
7234,Unspecified,,,8
7235,Female,2009-01-01,0,8
7236,Female,2009-08-01,0,8
7237,Unspecified,,,6
7238,Unspecified,,,
7239,Unspecified,,,
7240,Unspecified,,,
7241,Unspecified,,,
7242,Male,2012-06-01,1,5
7243,Male,2007-10-01,1,13
7244,Male,2009-02-01,1,13
7245,Male,2008-02-01,0,9
7246,Female,2009-11-01,0,7
7247,Male,2010-07-01,1,7
7248,Female,2010-01-01,1,7
7249,Male,2010-06-01,1,7
7250,Male,2009-05-01,0,8
7251,Male,2009-06-01,0,8
7252,Female,2009-07-01,0,8
7253,Female,2009-06-01,0,8
7254,Male,2009-02-01,1,8
7255,Male,2009-04-01,0,8
7256,Male,2009-06-01,0,8
7257,Female,2009-06-01,0,8
7258,Male,2009-04-01,1,8
7259,Male,2008-12-01,1,8
7260,Female,2009-08-01,0,8
7261,Female,2009-01-01,0,8
7262,Male,2009-04-01,0,8
7263,Male,2009-04-01,0,8
7264,Female,2009-08-01,0,8
7265,Male,2009-04-01,0,8
7266,Male,2009-01-01,0,8
7267,Male,2008-06-01,0,9
7268,Female,2008-04-01,0,9
7269,Male,2009-05-01,1,8
7270,Male,2009-05-01,1,8
7271,Male,2008-11-01,,8
4760,Female,2009-06-01,,8
7272,Male,2008-10-01,,8
7273,Female,2009-01-01,,8
7274,Female,2008-12-01,,8
4857,Male,2008-12-01,,8
7275,Male,2009-06-01,,8
4852,Female,2008-09-01,,8
4738,Female,2009-06-01,,8
7276,Male,2009-06-01,,8
7277,Female,2009-04-01,,8
4849,Female,2009-07-01,,8
7278,Male,2009-05-01,,8
7279,Male,2008-12-01,,8
7280,Male,2008-12-01,,8
4858,Female,2008-12-01,,8
7281,Male,2009-06-01,,8
7282,Male,2009-06-01,,8
7283,Female,2009-05-01,1,8
7284,Female,2009-05-01,1,8
7285,Male,2008-12-01,0,8
7286,Unspecified,,,
7287,Unspecified,,,
7288,Unspecified,,,13
7289,Unspecified,,,8
7290,Female,2008-09-01,,8
7291,Male,2009-08-01,,8
7292,Male,2009-07-01,,8
7293,Unspecified,,,8
7294,Unspecified,,,8
7295,Unspecified,,,8
7296,Unspecified,,,8
7297,Unspecified,,,8
6050,Male,2007-04-01,,11
7298,Unspecified,,,
7299,Male,,,
7300,Female,,,
7301,Unspecified,,,7
7302,Unspecified,,,5
7303,Unspecified,,,
7304,Male,2009-02-01,0,8
7305,Female,2009-07-01,0,8
7306,Female,2008-11-01,0,8
7307,Female,2009-01-01,0,8
7308,Female,2009-08-01,0,8
7309,Male,,,9
7310,Female,,,10
7311,Male,,,10
